_,precision,recall,f1-score,support,precision,recall,f1-score,support,accuracy,acc,epoch,time,(MB),
resnet50,0.67,0.61,0.60,231,0.69,0.61,0.60,231,0.61,67.85,7,550.89,89.89,23.563.355
efficientnet_b0,0.68,0.64,0.64,231,0.70,0.65,0.65,231,0.65,65.41,11,718.20,15.42,4.042.135
densenet121,0.66,0.61,0.60,231,0.67,0.61,0.61,231,0.61,66.96,12,910.70,26.63,6.981.531
mobilenet_v3,0.62,0.60,0.59,231,0.64,0.60,0.60,231,0.60,63.86,11,620.28,16.16,4.236.619
vit_b_16,0.64,0.61,0.59,231,0.65,0.61,0.60,231,0.61,66.30,9,1225.99,327.38,85.819.419
convnext_base,0.73,0.71,0.69,231,0.75,0.71,0.71,231,0.71,77.61,9,1390.67,334.15,87.594.139
swin_v2_b,0.70,0.65,0.65,231,0.72,0.66,0.66,231,0.66,76.72,13,1995.69,331.63,86.933.523
effnet_v2_m,0.62,0.58,0.58,231,0.64,0.59,0.59,231,0.59,65.85,8,846.57,201.77,52.892.943
resnet50_retrain,0.71,0.68,0.66,231,0.72,0.67,0.66,231,0.67,70.29,9,660.34,89.89,23.563.355
Gradient,0.71,0.66,0.65,231,0.72,0.65,0.65,231,0.65,91.35,3,250.61,89.89,23.563.355
Knowledge distillation,0.66,0.63,0.62,231,0.68,0.63,0.63,231,0.63,91.80,3,295.48,201.77,52.892.943
Knowledge distillation (Improved),0.71,0.67,0.65,231,0.73,0.66,0.66,231,0.66,88.91,3,282.44,201.77,52.892.943
